Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,dateUpdated,Citywide,Central,Central SS,Central Northeast,Central Northeast SS,Lower Far Northeast,Lower Far Northeast SS,Lower Northeast,Lower Northeast SS,Upper Far Northeast,Upper Far Northeast SS,Lower North,Lower North SS,North,North SS,Upper North,Upper North SS,North Delaware,North Delaware SS,River Wards,River Wards SS,Lower Northwest,Lower Northwest SS,Upper Northwest,Upper Northwest SS,South,South SS,Lower Southwest,Lower Southwest SS,University-Southwest,University-Southwest SS,West,West SS,West Park,West Park SS
Social determinants of health,"Adults completing some college, ≥25 years of age",,Percentage,US Census \ American Community Survey,2009-2013,"Percentage of adults, 25 years or older, who completed at least some college.",American Community Survey 5 year estimates were used to provide more precise information about subgroups.,2/16/16,0.448,0.818,1,0.426,1,0.436,1,0.362,1,0.528,1,0.306,1,0.243,1,0.431,1,0.37,1,0.365,1,0.677,1,0.594,1,0.422,1,0.408,1,0.559,1,0.419,1,0.603,1
Social determinants of health,"Unemployment, ≥16 years of age",,Percentage,US Census \ American Community Survey,2009-2013,"Percentage of population, 16 years or older, who are unemployed but seeking work.",Citywide Over Time and Top 10 Cities unemployment estimates use more recent data from the Bureau of Labor Statistics 2014. This source was not available for estimates by Planning District and Racial Disparity. Planning District and Racial Disparity estimates were based on 2009-2013 American Community Survey data. American Community Survey 5 year estimates were used to provide more precise information about subgroups.,2/16/16,0.134,0.064,1,0.123,1,0.113,1,0.195,1,0.094,1,0.216,1,0.24,1,0.187,1,0.15,1,0.198,1,0.088,1,0.134,1,0.14,1,0.156,1,0.154,1,0.202,1,0.121,1
Social determinants of health,Poverty,,Percentage,US Census \ American Community Survey,2009-2013,"Percentage of population with an income below 100% of the federal poverty level (FPL). As examples, the FPL is equivalent to a yearly income of no more than $11,880 for an individual, or $20,160 for a family of 3.",American Community Survey 5 year estimates were used to provide more precise information about subgroups.,2/16/16,0.265,0.151,1,0.148,1,0.095,1,0.289,1,0.128,1,0.469,1,0.46,1,0.25,1,0.177,1,0.307,1,0.136,1,0.224,1,0.235,1,0.285,1,0.404,1,0.336,1,0.267,1
Social determinants of health,"Children living in poverty, <18 years of age",,Percentage,US Census \ American Community Survey,2009-2013,"Percentage of children under 18 with a family income below 100% of the federal poverty level (FPL). As examples, the FPL is equivalent to a yearly income of no more than $11,880 for an individual, or $20,160 for a family of 3.",American Community Survey 5 year estimates were used to provide more precise information about subgroups.,2/16/16,0.363,0.13,1,0.187,1,0.151,1,0.374,1,0.146,1,0.562,1,0.603,1,0.33,1,0.24,1,0.489,1,0.11,1,0.271,1,0.344,1,0.38,1,0.445,1,0.449,1,0.313,1
Social determinants of health,"Children in single-parent households, <18 years of age",,Percentage,US Census \ American Community Survey,2009-2013,Percentage of all children in family households that live in a household headed by a single parent (male or female head of household with no spouse present).,American Community Survey 5 year estimates were used to provide more precise information about subgroups.,2/16/16,0.578,0.326,1,0.357,1,0.314,1,0.599,1,0.246,1,0.797,1,0.771,1,0.669,1,0.411,1,0.647,1,0.239,1,0.53,1,0.503,1,0.596,1,0.695,1,0.777,1,0.633,1
Social determinants of health,Social capital,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,"Percentage of adults reporting ""yes"" to, ""Have people in your neighborhood ever worked together to improve the neighborhood? For example, through a neighborhood watch, creating a community garden, building a community playground, or participating in a block party.""",,2/16/16,0.656,0.792,1,0.432,1,0.62,1,0.582,1,0.418,1,0.698,1,0.682,1,0.705,1,0.684,1,0.645,1,0.615,1,0.803,1,0.674,1,0.601,1,0.749,1,0.727,1,0.611,1
Summary health measures,Premature death,,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2012,"Premature death is represented by the years of potential life lost before age 75 (YPLL-75). YPLL is an age-adjusted rate per 100,000 population.",,2/16/16,"9,468.40","5,761.20",1,"6,342.30",1,"6,818.90",1,"10,924.40",1,"6,040.90",1,"14,422.10",1,"12,200.90",1,"9,378.80",1,"9,280.90",1,"10,999.60",1,"7,176.20",1,"7,894.90",1,"9,501.00",1,"8,979.10",1,"8,642.00",1,"13,208.70",1,"9,808.30",1
Summary health measures,"Life expectancy in years, male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2012,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,2/16/16,72.3,77.3,1,76,1,75.1,1,70.1,1,75.9,1,67.4,1,68.2,1,70.9,1,72.4,1,69.8,1,75.3,1,73.7,1,72.4,1,71.4,1,72.9,1,67,1,71.1,1
Summary health measures,"Life expectancy in years, female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2012,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,2/16/16,79.3,84.3,1,83.7,1,79.3,1,76.9,1,84.6,1,74.6,1,77,1,79.3,1,79.3,1,76.8,1,80.4,1,78.5,1,78.4,1,80.3,1,78.6,1,77.1,1,77.9,1
Summary health measures,Poor or fair health,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,"Percentage of adults who rate their health as ""fair"" or ""poor"" in response to the question, ""In general, would you say that your health is excellent, very good, good, fair, or poor?""",,2/16/16,0.229,0.152,1,0.185,1,0.179,1,0.281,1,0.112,1,0.37,1,0.3,1,0.25,1,0.198,1,0.248,1,0.093,1,0.196,1,0.219,1,0.352,1,0.236,1,0.269,1,0.206,1
Tobacco and alcohol,Adult smoking prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,"Percentage of adults who have smoked at least 100 cigarettes in their lifetime and currently smoke every day or ""some days.""",,2/16/16,0.233,0.218,1,0.19,1,0.19,1,0.261,1,0.065,1,0.251,1,0.322,1,0.204,1,0.245,1,0.31,1,0.195,1,0.209,1,0.279,1,0.274,1,0.189,1,0.33,1,0.179,1
Tobacco and alcohol,"Smoking-attributable mortality rate per 100,000",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2012,"Age-adjusted rate of deaths attributable to smoking per 100,000 adults 35 years and older. This measure is based on CDC's [Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) methodology](https://chronicdata.cdc.gov/Health-Consequences-and-Costs/Smoking-Attributable-Mortality-Morbidity-and-Econo/w47j-r23n).",,2/16/16,285.6,178,1,222.9,1,290.5,1,281,1,130.1,1,294.9,1,315.4,1,212.4,1,279,1,317.3,1,231.7,1,237.1,1,342,1,266.2,1,271.6,1,338.5,1,274.2,1
Tobacco and alcohol,Secondhand smoke exposure at home among children,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,Percentage of children under 18 who live with an adult who smokes in the home.,"Data missing for some planning districts due to small sample size: Central, Lower Far Northeast,Upper Far Northeast, Lower Northwest, Lower Southwest, University South, West Park.",2/16/16,0.154,N/A,3,0.134,1,N/A,3,0.139,1,N/A,3,0.315,1,0.211,1,0.151,1,0.115,1,0.171,1,N/A,3,0.113,1,0.155,1,N/A,3,N/A,3,0.194,1,N/A,3
Tobacco and alcohol,Adult excessive drinking,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,"Also known as “binge drinking”: for women, consuming 4 or more drinks on a single occasion in the last 30 days; for men, consuming 5 or more drinks on a single occasion in the last 30 days.",,2/16/16,0.161,0.288,1,0.161,1,0.219,1,0.129,1,0.169,1,0.199,1,0.138,1,0.123,1,0.145,1,0.16,1,0.171,1,0.114,1,0.192,1,0.109,1,0.21,1,0.132,1,0.059,1
Obesity,Adult obesity prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012,Percentage of adults with BMI greater than or equal to 30kg/m2.,,2/16/16,0.319,0.177,1,0.33,1,0.282,1,0.369,1,0.155,1,0.391,1,0.392,1,0.35,1,0.327,1,0.288,1,0.198,1,0.355,1,0.312,1,0.441,1,0.329,1,0.43,1,0.272,1
