Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,Central,Central Northeast,Lower Far Northeast,Lower North,Lower Northeast,Lower Northwest,Lower South,Lower Southwest,North,North Delaware,River Wards,South,University-Southwest,Upper Far Northeast,Upper North,Upper Northwest,West,West Park,Central SS,Central Northeast SS,Lower Far Northeast SS,Lower North SS,Lower Northeast SS,Lower Northwest SS,Lower Southwest SS,North SS,North Delaware SS,River Wards SS,South SS,University-Southwest SS,Upper Far Northeast SS,Upper North SS,Upper Northwest SS,West SS,West Park SS
Summary Health Measures,Years of Life Lost Before Age 75,,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Years of Potential Life Lost Before Age 75 (YPLL-75) is an age-adjusted rate per 100,000 of the population. It is based on the average years a person would have lived if he or she had not died before age 75.",,"The methods for calculating Years of Life Lost Before Age 75, previously called Premature Death, have been updated since prior reports.","5,957.3","7,588.7","7,963.7","13,573.5","10,452.7","7,086.3",N/A,"9,427.6","12,057.9","8,722.6","11,672.6","8,630.1","9,362.7","6,669.4","10,031.6","8,932.5","11,882.1","9,042.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Summary Health Measures,"Life Expectancy in Years, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,"Caution low sample size: Upper Northwest, Upper North, Lower Northeast, Central Northeast, North Delaware, River Wards, Lower North, Central, West, University/Southwest. Omitted due to insufficient sample size: Lower Northwest, West Park, Lower Southwest. ",78.3,75.4,73.9,68.4,72.2,N/A,N/A,N/A,68.6,74.6,68.8,72.5,72.5,77.0,72.2,73.8,68.1,N/A,2,2,2,2,2,3,3,1,2,2,1,2,2,2,2,2,3
Summary Health Measures,"Life Expectancy in Years, Female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,"Caution low sample size: Upper Far Northeast, Lower Far Northeast, Central Northeast, North Delaware, Lower Northeast, Upper Northwest, Lower Northwest, River Wards, Lower North, Central, University/Southwest. Omitted due to insufficient sample size: West Park, Lower Southwest. ",82.8,80.1,79.0,73.6,75.6,79.8,N/A,N/A,76.2,78.0,75.1,78.6,77.6,81.2,77.1,78.9,78.1,N/A,2,2,2,2,2,2,3,1,2,2,1,2,2,1,2,1,3
Summary Health Measures,Poor or Fair Health,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults who rate their health as ""fair"" or ""poor"" in response to the question, ""In general, would you say that your health is excellent, very good, good, fair, or poor?""",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: West Park, Lower Southwest.",0.136,0.201,0.162,0.324,0.284,0.163,N/A,0.331,0.325,0.221,0.282,0.190,0.220,0.126,0.255,0.209,0.273,0.225,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
Tobacco and Alcohol,Adult smoking Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults who have smoked at least 100 cigarettes in their lifetime and currently smoke ""every day"" or ""some days.""",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: River Wards, West Park, Lower Southwest.",0.161,0.181,0.220,0.253,0.233,0.169,N/A,0.264,0.283,0.264,0.388,0.258,0.218,0.094,0.199,0.208,0.317,0.165,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2
Obesity,Adult Obesity Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults with BMI greater than or equal to 30kg/m2, based on self-reported height and weight.
",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: West Park, Lower Southwest.",0.177,0.315,0.283,0.361,0.332,0.245,N/A,0.389,0.395,0.361,0.323,0.324,0.329,0.221,0.392,0.353,0.396,0.270,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
Obesity,Adults Drinking ≥1 Sugary Drink Daily,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults who drank soda, sweetened fruit drinks, and/or bottled teas at least once a day for past 30 days. Respondents were instructed “do not include diet soda/drinks.”",,"Examples provided to respondents included Coke, 7-Up, Snapple, Hugs, lemonade, and Kool-Aid. Caution low sample size: River Wards, West Park, Lower Southwest.",0.156,0.276,0.318,0.391,0.340,0.238,N/A,0.409,0.466,0.371,0.445,0.316,0.319,0.235,0.356,0.313,0.389,0.258,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2
Cardiovascular Disease and Diabetes,Adult Hypertension Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,Percentage of adults who have been told by a doctor or other health professional that they have high blood pressure or hypertension. Excludes respondents with a history of gestational hypertension only.,,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: Lower Southwest. Omitted due to insufficient sample size: West Park.",0.259,0.339,0.410,0.414,0.353,0.361,N/A,0.451,0.417,0.370,0.306,0.363,0.330,0.317,0.471,0.366,0.479,N/A,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3
Cardiovascular Disease and Diabetes,Adult Diabetes Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,Percentage of adults who have been told by a doctor or other health professional that they have or have had diabetes. Excludes respondents with a history of gestational diabetes only.,,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates.",0.090,0.108,0.135,0.150,0.184,0.139,N/A,0.189,0.186,0.173,0.165,0.158,0.122,0.133,0.207,0.148,0.159,0.227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
HIV,"New HIV Diagnoses per 100,000 People",,Rate,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Rate of new HIV diagnoses per 100,000 population.",,"Omitted due to insufficient sample size: Lower Far Northeast, Lower Northwest.",35.9,10.2,N/A,44.9,24.9,N/A,N/A,57.0,58.0,37.8,11.7,36.1,32.0,0,33.9,35.3,26.5,43.7,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1
