Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Notes,Total population,"Black, non-Hispanic","White, non-Hispanic",Hispanic,"Asian, non-Hispanic"
Summary Health Measures,Years of Potential Life Lost Before Age 75,,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Years of Potential Life Lost Before Age 75 (YPLL-75) is an age-adjusted rate per 100,000 of the population. It is based on the average years a person would have lived if he or she had not died before age 75.",,"Caution low sample size: Asian, non-Hispanic.  The methods for calculating premature death have been updated since prior reports.",9038,11506,7700,6918,2682
Summary Health Measures,"Life Expectancy in Years, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,"Caution low sample size: Asian, non-Hispanic & Hispanic",73.2,70.2,75.0,76.9,88.0
Summary Health Measures,"Life Expectancy in Years, Female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,"Caution low sample size: Asian, non-Hispanic & Hispanic",79.3,77.6,80.1,82.3,96.4
Summary Health Measures,Poor or Fair Health,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults who rate their health as ""fair"" or ""poor"" in response to the question, ""In general, would you say that your health is excellent, very good, good, fair, or poor?""",,"Caution low sample size: Asian, non-Hispanic.",0.236,0.270,0.180,0.365,0.093
Tobacco and Alcohol,Adult Smoking Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults who have smoked at least 100 cigarettes in their lifetime and currently smoke ""every day"" or ""some days.""",,"Caution low sample size: Asian, non-Hispanic.",0.224,0.258,0.214,0.191,0.091
Tobacco and Alcohol,"Teen Smoking Prevalence, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of 9th-12th grade students who smoked on at least one day in past 30 days.,,,0.072,0.036,0.144,0.085,0.026
Tobacco and Alcohol,"Smoking-Attributable Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Age-adjusted rate of deaths attributable to smoking per 100,000 adults 35 years and older. This measure is based on CDC's Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) methodology. For more details: https://chronicdata.cdc.gov/Health-Consequences-and-Costs/Smoking-Attributable-Mortality-Morbidity-and-Econo/3kjq-j5dm/data & https://www.ncbi.nlm.nih.gov/books/NBK294316/ ",,Data missing for some race/ethnic subgroups due to small sample size. The methods for calculating smoking-attributable mortality have been updated since prior reports and are not comparable to previous years.,463.3,542.1,436.3,,
Tobacco and Alcohol,Secondhand Smoke Exposure at Home Among Children,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,Percentage of children under 18 who live with an adult who smokes in the home.,,Data missing for some race/ethnic subgroups due to small sample size. ,0.137,0.152,0.131,0.107,
Tobacco and Alcohol,Adult Binge Drinking,,Percentage,Behavioral Risk Factor Surveillance System (BRFSS),2012,Adult binge drinking is the percentage of adults reporting binge drinking. ,,The Centers for Disease Control and Prevention define binge drinking as drinking 5 or more drinks on an occasion for men or 4 or more drinks on an occasion for women. Data missing for some race/ethnic subgroups due to small sample size. Please note that data years differ across dimensions for this indicator.,0.187,0.142,0.258,0.221,
Tobacco and Alcohol,"Teen Excessive Drinking, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of 9th-12th grade students who had 5 or more alcoholic drinks in a row within a couple hours on at least one day in past 30 days.,,,0.108,0.076,0.172,0.144,0.056
Obesity,"Child Obesity Prevalence, Male, 5-18 Years of Age",,Percentage,School District of Philadelphia,2012-2013,"Percentage of male children, age 5 to 18 years, enrolled in the School District of Philadelphia (SDP) with a body mass index (BMI) greater than or equal to the 95th percentile for their age and gender group based on 2000 Centers for Disease Control growth charts. BMI data are based on nurse-measured heights and weights.",,Data are by school year.,0.201,0.184,0.208,0.259,0.164
