Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Summary Health Measures,Years of Potential Life Lost Before Age 75,,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Years of Potential Life Lost Before Age 75 (YPLL-75) is an age-adjusted rate per 100,000 of the population. It is based on the average years a person would have lived if he or she had not died before age 75.",,"The methods for calculating premature death have been updated since prior reports, and all data years have been recalculated.",12182.600,12124.400,11865.800,11523.300,11309.600,11359.100,11634.800,11274.300,10548.400,9975.500,9820.000,9910.000,9821.600,9037.600,,
Summary Health Measures,"Life Expectancy in Years, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,,68.700,69.050,69.580,69.810,70.440,70.280,70.140,70.670,71.850,72.140,72.530,71.900,72.280,73.200,,
Summary Health Measures,"Life Expectancy in Years, Female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,,76.440,76.630,76.970,77.340,78.040,78.220,78.860,78.930,79.380,79.770,80.180,78.860,79.300,79.300,,
Summary Health Measures,"Gap in Life Expectancy at Birth Between Black and White Philadelphians, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2006-2013,"The gap in life expectancy at birth between black, non-Hispanic and white, non-Hispanic Philadelphians. The life expectancy for black is subtracted from the life expectancy for white.",,,,,,,,,7.600,7.700,7.400,7.700,7.700,5.100,5.900,4.800,,
Summary Health Measures,"Gap in Life Expectancy at Birth Between Black and White Philadelphians, female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2006-2013,"The gap in life expectancy at birth between black, non-Hispanic and white, non-Hispanic Philadelphians. The life expectancy for black is subtracted from the life expectancy for white.",,,,,,,,,4.700,5.000,5.200,5.700,5.900,3.800,3.000,2.500,,
Summary Health Measures,Poor or Fair Health,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults who rate their health as ""fair"" or ""poor"" in response to the question, ""In general, would you say that your health is excellent, very good, good, fair, or poor?""",,,0.250,,0.259,,0.256,,0.287,,0.281,,0.228,,0.229,,,0.236
Tobacco and Alcohol,Adult Smoking Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults who have smoked at least 100 cigarettes in their lifetime and currently smoke ""every day"" or ""some days.""",,,0.259,,0.248,,0.259,,0.259,,0.273,,0.252,,0.233,,,0.224
Tobacco and Alcohol,"Teen Smoking Prevalence, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who smoked on at least one day in past 30 days.,,,,0.158,,0.139,,,,0.107,,0.108,,0.096,,0.075,,0.072
Tobacco and Alcohol,"Smoking-Attributable Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2004-2013,"Age-adjusted rate of deaths attributable to smoking per 100,000 adults 35 years and older. This measure is based on CDC's [Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC)] (https://chronicdata.cdc.gov/Health-Consequences-and-Costs/Smoking-Attributable-Mortality-Morbidity-and-Econo/3kjq-j5dm/data) methodology. For more details: https://www.ncbi.nlm.nih.gov/books/NBK294316/. ",,"The methods for calculating premature death have been updated since prior reports, and all data years have been recalculated.",,,,,495.500,497.300,491.500,487.800,510.300,505.900,463.600,486.500,471.000,463.300,,
Tobacco and Alcohol,Secondhand Smoke Exposure at Home Among Children,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2004-2014/15,Percentage of children under 18 who live with an adult who smokes in the home.,,,,,,,0.280,,0.253,,0.231,,0.175,,0.154,,,0.137
