month,incidents
2012-01-01,15371
2012-02-01,15093
2012-03-01,16639
2012-04-01,16662
2012-05-01,17798
2012-06-01,17550
2012-07-01,17517
2012-08-01,17687
2012-09-01,16843
2012-10-01,16700
2012-11-01,14532
2012-12-01,14385
2013-01-01,14329
2013-02-01,12835
2013-03-01,15237
2013-04-01,15584
2013-05-01,16956
2013-06-01,16755
2013-07-01,17180
2013-08-01,17487
2013-09-01,15979
2013-10-01,16589
2013-11-01,14481
2013-12-01,13095
2014-01-01,12316
2014-02-01,11253
2014-03-01,14142
2014-04-01,15832
2014-05-01,17386
2014-06-01,16819
2014-07-01,18011
2014-08-01,16813
2014-09-01,16819
2014-10-01,17664
2014-11-01,14879
2014-12-01,14208
